proj;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
minor;2015-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;1;1;0;0;1;7;13;15;3;5;7;17;3;2;18;7;2;1;0;1;0;1;0;0;0;0
oc;2014-04-01;0;0;0;2;2;4;1;2;1;1;2;9;4;6;6;4;0;1;0;7;5;2;5;3;2;6;3;2;5;5;1;5;1;1;0;0;0;2;0;2;2;4;1;2;2;10;10;4;3;7;3;0;2;4;3;7;5;5;0
param hints;2017-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;13;7;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter hints;2016-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;12;6;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parameter name hints;2016-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;43;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
patch;2015-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;3;2;10;0;4;20;11;9;17;12;5;3;1;3;0;0;6;1;19;1;1;0;0;16;1;0;1;0;0;0;0;0;0;0;0;0;0
platform;2014-01-01;7;8;29;24;8;12;8;7;4;3;3;17;22;8;2;4;5;3;4;4;30;27;19;14;6;14;18;30;23;7;17;17;28;18;19;24;29;9;9;13;15;8;9;17;11;18;15;22;21;24;18;20;18;38;14;10;8;17;0
project;2014-06-01;0;0;0;0;0;2;4;0;1;7;4;0;2;3;0;2;0;0;0;2;2;6;2;1;2;1;3;2;1;0;0;0;1;2;2;3;0;0;1;2;0;1;2;1;1;1;3;0;1;2;0;2;7;2;5;0;3;12;0
push;2014-08-01;0;0;0;0;0;0;0;12;33;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;2;0;0;0;9;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
py;2014-01-01;9;16;20;6;13;8;19;23;18;20;29;21;16;27;44;49;28;18;23;12;116;84;33;33;26;31;59;24;39;46;48;33;70;121;58;26;40;78;73;51;57;84;116;48;27;90;22;65;25;90;59;36;19;118;26;137;9;104;0
regexp;2014-10-01;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;1;25;0;1;0;29;19;28;2;4;6;2;1;0;2;3;0;1;2;0;1;1;2;0;2;1;13;2;0
revert;2014-02-01;0;2;0;1;1;1;2;0;0;2;0;1;1;1;1;0;0;2;0;1;1;1;2;2;3;7;3;1;6;1;2;0;7;8;2;2;3;4;7;2;6;2;4;0;6;6;3;5;4;1;5;3;1;4;5;0;0;3;0
